Thetas Estimation;Log Var Thetas Estimation
0.14608246;-4.2410736
-1.8853033;-3.9438405
0.08457875;-4.268239
-0.92230284;-4.7364025
-1.8506744;-4.054799
3.2163355;-3.9449956
-0.32506442;-3.8555543
0.58939064;-3.5314226
2.1199567;-3.9578123
2.1883867;-3.863547
-1.3243786;-3.927855
1.8781761;-3.784351
2.3717508;-4.3421626
-2.530999;-4.1413903
2.5513935;-4.1467476
2.5255723;-4.1887703
-2.7314398;-4.1931
-1.929746;-3.9930053
2.2339792;-4.340796
1.8718725;-4.589708
-1.4075648;-4.4861646
1.6426376;-3.8860502
-2.7517238;-4.0274806
-2.118402;-4.343077
0.5297259;-4.0278435
1.4211352;-4.0895786
-2.253107;-4.128111
1.2525505;-4.219281
-0.06995502;-4.3039455
2.4367595;-4.1175127
0.07152435;-4.19395
-0.62469774;-3.8357651
-2.5650861;-4.006804
2.0198128;-4.1473927
0.29975793;-4.422386
1.7746619;-4.2938204
-1.8211585;-4.1490097
1.6524734;-3.8707922
-2.2042062;-3.8675134
-1.0686893;-3.9482605
1.7507211;-3.8351593
-1.9841957;-4.3219957
1.3248417;-4.3282623
-2.109096;-3.8244517
1.7214564;-3.825819
0.2642387;-3.8668125
-0.9797641;-4.2539406
-2.1101964;-4.0283527
1.9337312;-4.3544946
2.9757247;-4.2826824
2.6342509;-4.1596174
0.66500044;-4.1223516
0.1991001;-4.4544134
-1.3548405;-4.148454
-2.4633899;-4.219074
-2.2254248;-3.8430429
-0.8475442;-4.0912037
1.9739736;-3.8152928
2.4466648;-4.5119667
-2.5110238;-3.9261625
-2.0753145;-3.9120793
-1.9945967;-3.962473
1.579027;-4.363995
-2.4079046;-4.2961698
1.2045059;-4.3857923
-0.7401711;-3.9583468
2.0712914;-4.0429716
-0.14364092;-3.5291638
-0.7310698;-3.905056
1.0228176;-4.1509295
3.0358253;-3.953956
1.5764796;-4.191397
1.8457028;-3.911475
0.09088117;-4.568186
3.070532;-4.345518
-0.22625785;-4.096434
-3.0390115;-4.0349174
3.0595818;-4.0968556
2.042279;-3.998946
1.9664317;-4.161149
-1.2768005;-4.2190175
1.4763297;-4.4932275
0.44276628;-4.046754
-0.30502674;-3.721872
-1.3697731;-4.1105685
2.095276;-4.210373
2.5833964;-4.0865293
-2.2989707;-4.5847573
-1.1231833;-4.205002
2.6062393;-4.298866
2.8290644;-4.0907073
-1.5004572;-3.6582398
-1.750408;-4.1192856
-1.0075175;-3.9522095
-0.34812617;-4.4925666
-2.0737934;-4.128988
2.3428135;-4.266962
-0.62484026;-4.4388328
0.44719115;-3.882637
1.7691971;-4.169259
1.186388;-4.316684
-2.2764242;-4.29476
2.8450704;-4.0687585
-2.6758103;-3.8958309
1.7498947;-4.351909
-1.9958482;-3.911074
-0.15094352;-4.1159987
-2.2836678;-3.6258433
0.53102446;-4.043705
-1.8922815;-4.1186056
0.47037056;-3.786072
-1.2858278;-4.127711
1.822059;-4.58596
2.0560427;-4.056525
1.4565048;-4.0039167
0.23056754;-3.7735863
-1.0884902;-3.7423484
-1.2971667;-4.3257113
-3.4803903;-3.7883055
-1.2588724;-4.268074
1.7917367;-4.2712073
-0.66042805;-3.9505439
-1.173905;-4.1756115
-1.75404;-4.137043
1.4978784;-4.079323
-0.44488692;-3.9493363
2.9494157;-4.161478
-0.29597056;-4.145978
-1.0106419;-4.1967115
-0.8894886;-3.4201705
-0.8108018;-3.9326894
-0.39810133;-3.5194888
2.9368312;-4.2908845
0.4035791;-4.44785
1.9673258;-4.4145494
-2.2183096;-4.057983
-1.6338912;-4.0487566
0.26637438;-4.2054253
-0.25056893;-4.5355716
3.1449015;-3.9349468
0.84418917;-4.0324693
1.2960554;-4.331077
1.0015626;-4.3176045
-1.7159328;-3.923706
2.3665142;-4.186228
-1.9342139;-3.4013934
-2.4487119;-3.9244041
2.6170573;-4.3296614
-1.5773835;-3.910221
-0.07249367;-4.588837
0.047225595;-4.7056313
-2.243627;-3.8417077
1.9640983;-3.983255
1.772935;-4.4235125
1.8728374;-3.9776525
2.4116242;-4.0472517
1.0664413;-4.2067294
2.265479;-4.0628233
1.5048254;-4.0643334
2.0476305;-4.1329403
0.32815275;-3.7327776
-1.0475723;-4.0417447
1.4431454;-4.31696
-1.9518343;-3.9660783
2.18219;-4.3950944
-0.8468456;-4.3780546
2.4218132;-4.4289675
-1.0437161;-3.8963292
2.9943051;-3.6362875
-2.196416;-3.9278896
-0.039569736;-4.17671
1.967476;-4.1408024
-1.0292709;-3.8880014
1.0589172;-4.32171
-2.4351606;-3.6705868
3.2569942;-3.8994553
-0.29108813;-4.4251556
-0.3443844;-4.2763724
-2.2128618;-3.8316073
2.011999;-4.51819
1.7370378;-4.1665597
2.2992265;-4.018126
-1.1408707;-4.3373876
-2.5933645;-4.3271856
-1.1036837;-4.3330483
2.108921;-4.0752993
2.0210867;-4.5101852
-1.2548993;-4.392246
2.7513251;-4.2827067
2.04737;-4.146697
0.6053457;-4.485069
0.2019206;-3.8875194
-0.5777204;-3.9292097
3.260658;-4.2980385
1.9847933;-4.243346
0.47374496;-3.8195086
1.9068838;-4.031575
0.26668897;-3.9010634
0.8511721;-3.9429696
1.795559;-4.0289702
1.6021447;-4.354586
-2.539545;-4.03679
1.6225863;-3.5936813
-0.49215764;-3.95761
-2.5904014;-4.486525
-0.72986305;-4.3721423
2.5282674;-4.3266993
-1.4905336;-4.1217113
-2.7048585;-3.8891711
-2.2722142;-4.0875587
-0.6813538;-4.0060887
-1.0900284;-3.6343563
-0.68722916;-4.447882
2.8881183;-4.35548
-0.8327764;-4.100813
1.9979261;-4.374236
0.4695895;-4.204399
2.1826742;-4.0750427
-1.6018063;-4.3162646
1.1678232;-4.0364122
2.3267093;-4.5695443
-0.032625645;-3.9515839
0.2901077;-4.0609035
-1.8469132;-4.0771575
-2.3742626;-4.2229733
-0.27871546;-4.4156756
2.4524047;-4.4309287
-1.3235763;-4.0208406
2.3130052;-3.8366609
0.20714888;-4.174104
-0.18596417;-4.368901
2.3283298;-3.8569343
-0.7420464;-4.0427475
1.6554759;-4.226475
2.6349738;-3.698705
1.4569148;-3.8969212
3.346053;-4.084954
0.12749907;-4.393697
1.579507;-4.298322
