Thetas Estimation;Log Var Thetas Estimation
0.4000782;-3.6230407
-2.4160354;-3.961935
-0.4294354;-4.404463
1.1863573;-4.0471134
-0.61941695;-3.9057512
2.9932368;-3.9480572
-0.41212627;-4.072862
1.1011434;-4.2580786
0.50678694;-3.5533614
0.80207;-3.8486342
0.47464022;-3.9829254
1.3082461;-3.8833857
2.1497712;-3.935072
-2.0923145;-3.4400172
2.5547552;-4.030917
2.103891;-4.0035872
-3.2510092;-3.94805
-0.78853095;-4.3351207
0.4825019;-3.9944558
1.250293;-3.93368
-1.3898351;-3.9533386
1.1425444;-4.171171
-1.9400803;-3.9865456
-1.3327183;-4.284342
1.6047423;-3.945341
-0.52992296;-4.077554
-2.1136305;-3.9733405
1.7594163;-3.9059348
0.4526467;-4.149285
2.8889325;-3.4920273
-1.8333477;-4.151583
0.08232245;-3.6959639
-1.5408678;-4.4254937
1.4916049;-4.1948185
0.77153563;-4.2521973
0.9486544;-3.8010936
0.1462141;-4.2279606
1.09805;-4.213503
-1.1958482;-3.8811436
-2.2827418;-4.209563
1.2007713;-4.796983
-2.5555146;-4.09487
1.7465203;-4.2910347
-1.7516849;-3.5084262
1.1409405;-4.0032206
0.5615758;-3.644959
0.49660537;-3.6901212
-2.2293305;-4.361916
-0.59914243;-3.9780703
2.4507282;-4.371665
3.2844393;-4.164371
0.42514548;-3.9429288
-0.6582381;-4.062585
-2.0834188;-4.4217653
-1.4147466;-4.4219775
0.07267544;-4.5163794
-0.9152658;-3.7205744
1.2281626;-4.2107034
1.3557616;-4.25233
-2.1965618;-3.2665472
-2.9547331;-3.8499737
-1.919509;-4.3265133
1.3399035;-4.12625
-1.3386751;-3.9280286
1.3566269;-4.480641
-1.7422435;-4.0078425
2.1565218;-3.9569983
0.8901745;-4.000124
-0.5674559;-3.7717109
0.57361627;-4.0170674
2.6279585;-4.046393
0.51951325;-4.2541203
2.7620602;-3.3474083
-0.32568985;-4.411275
2.1942215;-4.0736957
1.7692077;-4.3949447
-2.0477507;-3.882285
2.28842;-3.9579906
1.5091782;-4.028146
1.3181425;-4.325886
-1.0313241;-3.8109555
1.3133372;-4.269317
2.6950057;-3.9117007
-0.26121682;-3.7732234
-0.73077095;-4.496959
0.4642667;-3.8130598
2.2711325;-4.24999
-1.6165459;-4.5672293
-0.50247365;-4.1088862
2.0335526;-3.935382
2.554914;-3.5582938
-1.6429687;-4.312266
-2.3293097;-3.9183993
-1.5032277;-4.491467
0.7538949;-3.9836726
-0.9311267;-4.1039963
3.02039;-3.6909943
-0.535198;-4.058829
0.5044956;-3.883625
0.91089046;-4.3092055
1.3608382;-4.2108893
-1.456656;-3.656886
2.2262564;-4.334116
-2.7230241;-3.8969412
0.0046818852;-3.8114333
-2.1641026;-4.083424
-0.4956763;-4.230388
-0.9096674;-3.8725343
0.6446912;-4.030254
-1.2268962;-3.7816882
0.6028894;-4.2995515
0.46998546;-4.225369
1.1096944;-3.7205873
1.1837028;-3.8643332
1.7226157;-3.693873
-0.9700396;-4.013727
0.113952905;-3.820767
0.17143503;-3.8146653
-2.5934331;-4.409007
-0.86280495;-3.9018092
2.0260694;-4.09709
-0.5567871;-4.0454025
0.13821831;-4.3631134
-1.2127433;-4.3346105
1.5381267;-4.29942
-0.0978691;-4.257565
3.7117991;-3.946309
-0.41507533;-3.7309532
-1.3492941;-4.097015
0.34546313;-4.44899
-0.6264404;-4.040684
-0.3230629;-4.1214886
3.0281613;-4.02536
0.9922333;-4.2020173
1.5278652;-3.6398482
-2.0151339;-3.8825173
-1.2511004;-3.7452745
-0.3411498;-4.4122605
-0.488255;-4.0816355
2.7446554;-3.7579741
1.0472133;-4.304382
0.6310178;-4.4470854
0.49418697;-4.1659994
-1.8825331;-3.6701527
2.0656536;-4.3289757
-2.2625747;-3.5885067
-1.9691998;-3.68224
2.24897;-4.3988485
0.74919784;-3.9713597
-0.060967088;-4.466806
1.0290982;-4.2458534
-1.7642775;-4.108175
1.67289;-4.1478953
1.4751593;-4.250041
1.4421924;-4.041128
2.7522354;-4.1449656
1.5766845;-3.7811966
1.9917312;-3.9907537
1.452282;-4.3693504
2.5072646;-4.1132436
-0.64780676;-4.077757
-1.6403431;-4.1872964
1.4939189;-4.114974
-2.2834368;-3.8684058
0.23116305;-4.269335
-0.39209694;-4.231584
1.8723598;-4.3533726
-2.161127;-3.4681005
1.9329829;-4.2734003
0.15221646;-4.0025105
0.20305076;-3.9293675
1.8908634;-4.1611295
-0.17756182;-3.9124966
1.580625;-3.6140075
-1.4933281;-4.137149
3.15786;-4.046026
0.38540646;-4.1942434
0.9360802;-4.2470903
-3.198419;-4.3318677
1.7382755;-4.490115
2.687172;-3.6525126
2.7578146;-3.6862302
-1.0664699;-3.6501937
-1.7539353;-4.116205
-1.0507061;-4.290697
2.2995553;-4.1322665
1.6983185;-4.3800426
-2.0170743;-3.8340487
1.8194842;-4.269257
2.5900993;-4.6167636
2.4943464;-3.5869327
-0.50478727;-4.0843596
-1.0144534;-4.0834203
2.7829611;-4.177029
2.7109559;-4.1696477
1.7034988;-4.080251
2.1356525;-4.3518
0.13374743;-4.077373
-0.46970624;-4.0958824
1.5343432;-4.194777
1.4234372;-3.5402837
-2.3747668;-4.029357
1.5408068;-4.2988873
0.26378664;-3.9656372
-2.5551393;-3.7710452
0.2862924;-4.082905
0.3164768;-3.9107194
-0.3862486;-3.5844455
-3.032918;-4.244876
-2.2206347;-3.8960876
0.39681044;-4.081824
0.38195673;-3.5061293
-1.2206833;-4.3680143
2.6500394;-3.8953495
-0.25940627;-4.2830977
1.0459182;-4.18465
0.9090998;-4.210362
3.1320186;-4.257822
-1.4377809;-4.089819
2.476102;-3.804503
1.0121505;-4.4566827
1.2634298;-4.403155
1.1154138;-4.025702
-1.9448564;-4.236947
-0.7820393;-3.8793569
-0.66269135;-3.9832802
3.0001929;-4.4424562
0.11588946;-3.9428272
0.79951787;-3.7919226
0.2577056;-3.8044276
0.5325061;-4.273337
2.623108;-4.222982
-0.6017027;-4.058904
1.9918344;-4.181688
1.775995;-4.4505997
2.053207;-3.6358109
1.5400095;-4.3831615
0.7533746;-4.054829
1.0946053;-4.3511744
2.4693296;-4.034449
-0.20946729;-4.3072124
0.9794824;-4.1732383
2.0805414;-3.8232646
-1.1039248;-4.0097136
-0.146094;-3.751192
-2.4312775;-4.088392
2.6012783;-3.791473
2.6389518;-4.041679
1.5240352;-4.0993223
-0.12347144;-4.435513
1.7966104;-3.7136974
-1.7044201;-4.1597753
0.6526245;-4.2337
-0.84605896;-3.7596564
1.1283203;-4.2516317
-0.28370607;-4.267673
0.5398365;-4.319133
