Thetas Estimation;Log Var Thetas Estimation
0.17099777;-4.2051945
-2.4762027;-4.015436
-1.2705528;-3.9816606
-0.15399358;-4.2839985
-0.7227876;-3.7115128
2.7585397;-4.26692
-0.7377523;-3.9549084
0.05859527;-4.2520957
0.25729427;-4.1487556
0.47766015;-3.9519958
-0.31755143;-4.1090155
-0.99826026;-4.418905
2.5970619;-4.096162
-1.8198216;-3.911207
2.0551422;-4.251541
2.2767744;-4.053144
-2.341098;-4.187371
-1.3124363;-3.919729
1.0329744;-3.6975152
0.6335789;-4.016533
-0.9983864;-4.100664
0.53439033;-4.0703807
-2.5400097;-3.764409
-3.0592234;-4.0431614
1.2657814;-4.3509445
-0.020004392;-3.7645502
-2.7595708;-4.203494
2.7379246;-4.1212134
1.0656381;-4.147897
3.014385;-3.8770242
-1.66317;-4.3146305
0.52039516;-4.269015
-0.9805083;-3.8136003
0.05820802;-4.121331
0.46303883;-4.1163106
0.8698535;-3.953034
-0.99315536;-4.4221663
-0.39812452;-4.087269
-0.8432121;-4.4375634
-2.5086954;-4.0917015
1.2710601;-4.1034827
-1.6710546;-4.1002417
-0.09080083;-4.3391447
-2.8001134;-3.6717613
0.123705745;-4.014414
0.3897306;-4.192747
-0.13092802;-3.8569877
-3.0514448;-4.083464
1.7015146;-4.0470357
2.5076625;-4.1291127
3.0637248;-4.2857695
-0.94973207;-4.0422072
-1.3666193;-4.3546033
-2.1498556;-3.9757845
-1.6660405;-4.1833982
-2.1244571;-3.8436751
-0.67558134;-4.254992
-0.45169783;-4.0781994
0.65201366;-4.128144
-2.5096881;-4.278689
-2.0818233;-4.299121
-1.2847077;-4.229168
1.3112277;-4.1793175
-2.2755158;-3.920412
2.0501761;-4.1121426
-1.0597409;-4.232419
0.522563;-3.8280632
-0.39233726;-4.2294397
-1.5875809;-4.2849617
0.83794165;-3.9926145
2.5820475;-3.7991197
1.2543133;-4.1067085
1.4416761;-4.091592
-0.059015393;-4.152811
2.1223023;-3.7800412
0.41216812;-4.0200396
-2.2675247;-4.052327
1.5618697;-4.4283257
0.4807932;-4.350872
0.46930626;-3.9883676
-1.6930137;-3.794136
0.996405;-3.640696
1.3825614;-4.2166357
0.67700577;-3.933141
-1.4067519;-3.6991699
-0.53558064;-4.00564
1.9960967;-4.2352543
-2.1033897;-3.9829977
-1.8944612;-3.8076386
1.6170753;-3.815593
2.3550947;-4.0867
-2.3299332;-4.295058
-1.6884719;-4.0733833
-0.16200852;-4.0755873
0.7455739;-4.115676
-1.6724794;-4.2934093
1.1018555;-3.8665764
-1.3054817;-4.314704
0.037093237;-4.244087
0.027644113;-4.067443
0.74318826;-3.9181118
-2.903958;-4.0490065
1.2540108;-3.7383935
-2.7854438;-4.1790557
1.0171376;-4.195176
-0.68439984;-4.189396
-0.171538;-4.0959153
-2.0971375;-4.0210924
0.19968802;-3.8451452
-2.3824706;-3.9427693
1.0818112;-4.1840363
-1.7786268;-4.409539
-0.090203464;-3.7055445
0.8191439;-4.3550425
1.4455081;-4.133849
-0.75296366;-4.206346
-2.30753;-4.1153035
-0.72395146;-4.232048
-3.1142085;-4.019787
-2.2307842;-4.098011
2.0805817;-3.915207
-0.03375344;-3.6168942
-1.971572;-4.2143955
-1.2689952;-4.116558
2.0618584;-3.8570936
-0.8432317;-4.2210827
1.6284333;-3.929395
-1.606108;-4.057721
-1.735942;-4.169052
-0.46675253;-4.15489
-1.251749;-3.8614283
-0.3173796;-4.100628
2.5001712;-4.085563
-0.43131846;-3.9377074
2.4198925;-3.9095237
-2.1667738;-3.9223058
-2.0754278;-3.874944
0.05046864;-4.0328608
1.5806731;-4.138301
2.6084375;-4.2157536
1.5919193;-4.5512853
-0.09079305;-4.1523495
0.7066523;-3.9623387
-2.3390143;-3.7890468
1.264703;-4.2132635
-2.8954444;-4.0844965
-2.437565;-4.0878696
2.074405;-4.053317
-0.9811007;-4.1425166
-1.2990091;-4.0388474
0.44072065;-4.1550655
-0.9131712;-4.0436506
1.9447428;-4.0496454
0.45392415;-4.306699
1.8929869;-4.057513
2.0139723;-3.967277
0.22122121;-4.157973
1.5137185;-4.325768
0.6835903;-4.114727
2.5072355;-3.91595
0.42264333;-3.7555375
-1.3856281;-4.4869394
0.458509;-3.9942882
-2.429467;-4.0401936
0.97847724;-4.2445927
-0.8565372;-3.8226767
1.1342423;-3.838947
-1.91175;-3.596162
0.88372195;-4.1375685
-1.9062816;-4.0818295
0.35481617;-4.193693
1.1510016;-4.1458917
-0.93901014;-4.238079
0.9866642;-4.3426976
-2.2316673;-4.2866116
2.2603424;-4.2523103
0.3526924;-4.106723
1.0170703;-4.3025837
-2.763244;-3.7922804
1.6055611;-3.9142308
2.4469593;-3.8373766
1.7679349;-3.9348023
-0.802251;-3.9219313
-2.8186767;-4.1368866
1.2613432;-3.8596075
1.0379597;-3.702656
1.2746416;-4.062228
-1.3502309;-3.9619668
2.6429405;-3.9697733
1.4861513;-3.9247742
2.104031;-4.0075693
1.1831853;-3.9319944
-1.9801565;-4.037901
2.9497159;-4.196713
1.5686028;-3.7421887
1.6601305;-4.2792406
1.7311689;-4.1464233
0.5417894;-4.072301
-0.49327955;-3.9242997
1.5134448;-4.243265
2.1340773;-4.1643696
-1.481236;-4.3135576
1.0885125;-4.271701
-0.4982769;-4.005743
-1.4175384;-3.9959261
-0.014058262;-3.834454
1.795296;-4.022397
-0.9071615;-3.5211341
-2.4271464;-3.5544593
-3.014348;-3.723878
-0.9733801;-4.4228725
-0.027912706;-4.170476
-1.3440223;-4.3596897
2.7346938;-4.034677
-0.072090976;-3.8759708
-0.54848063;-3.8745117
-0.6514745;-4.126564
1.2747253;-3.9732628
-2.9027185;-3.9818833
0.97054195;-4.0526657
0.78846407;-3.6533575
0.7175926;-3.7672184
0.35526577;-4.3281746
-1.6481332;-3.697736
-1.8975139;-4.285572
-0.18134935;-3.9493024
0.60439;-4.041889
-1.9647738;-4.2140107
0.5371336;-4.103707
0.17156622;-4.271348
0.9399754;-4.3036423
1.1681176;-3.8819885
-0.10830404;-3.9458714
0.892264;-3.9884326
2.3215172;-4.118343
1.3924897;-3.8516066
2.2133014;-4.17299
1.0105579;-4.093604
1.4028795;-4.3490953
-0.17669126;-3.910462
-1.4846944;-3.9890947
0.1076197;-4.174019
1.8145171;-4.438182
-2.8187659;-3.8129668
0.19301635;-4.067931
-1.885727;-4.121195
1.5860354;-4.100377
1.5690898;-4.249528
0.30661684;-4.4246445
-1.5869724;-4.020342
2.2630374;-4.0917206
0.77686703;-4.1714
-0.20799755;-4.019355
0.10505015;-3.8313787
2.1236746;-3.9365015
-0.68051195;-3.6944704
1.4569606;-4.2198114
0.16085881;-3.8774009
-0.14261991;-4.2846875
0.42375;-3.7788262
0.10246876;-4.2311125
-1.8626152;-4.3069124
2.4202743;-3.9527519
-0.64585567;-3.9160366
-1.8720404;-4.3972716
2.1514673;-4.3202667
1.5019243;-4.2873554
1.7212068;-3.8684587
1.9528643;-4.131889
-0.8005588;-4.1766825
-1.6413819;-3.8678603
-2.576815;-4.3201723
-1.9458574;-3.901286
-0.48443246;-4.303129
-2.3239074;-3.9623554
-1.1533514;-4.4416018
1.3064301;-4.2364435
0.41416684;-4.5060964
-1.6824611;-3.9674714
-1.3670338;-4.0698357
-0.76705813;-4.2184677
-2.9650538;-4.017411
-0.8746697;-3.951807
-1.5007894;-4.0417347
-1.4130322;-4.2014723
-0.36938706;-4.163341
0.25616416;-4.121358
-2.0044022;-4.2770586
-2.1938026;-4.3127365
-2.0287285;-4.198061
-1.5771552;-3.8241236
-0.6060425;-3.9448512
1.6021205;-3.9937797
0.41977778;-4.148052
-2.208091;-3.9306936
2.4545782;-4.1973076
-0.059403345;-4.014634
-2.400666;-4.3168955
1.8046184;-4.342477
1.6674976;-3.95614
-1.7815527;-4.2575684
1.2677046;-4.2068596
-2.946209;-4.110853
0.26704338;-3.7900941
-0.80219424;-3.9980557
0.06236586;-4.262293
0.030396953;-4.2403784
2.846957;-4.1211376
1.2513157;-4.3680534
-1.3539453;-3.8579824
-0.28234768;-3.78191
3.0602665;-4.3060207
0.14583728;-3.689659
2.7757835;-4.1164374
1.3350943;-4.009819
-1.9353849;-4.086358
2.3902087;-4.0248237
1.5135636;-4.208119
-2.468263;-3.7557464
1.8369375;-3.9882083
0.99806345;-3.9584565
-1.4967682;-3.8337421
-0.69313157;-4.0456266
1.7724965;-4.2566214
0.32721648;-3.6886191
0.43798283;-4.1700435
-0.16383311;-4.132478
1.4478536;-4.034322
-1.7095646;-4.2045517
-0.81038654;-4.156861
-0.3661027;-3.918603
-0.31282878;-4.3042865
1.2879766;-3.85285
2.2583828;-4.239662
-1.928965;-4.29211
1.7610351;-3.8958004
-1.1442609;-4.085685
-0.13854228;-4.505929
-0.20068353;-4.0692444
-1.9267362;-4.11294
-3.044648;-3.741194
2.051636;-4.1874847
0.55755043;-3.9007306
0.31637004;-3.809364
-0.98217785;-3.9185855
-1.0185624;-4.150747
-0.0069583654;-4.350588
0.77147067;-4.021894
-2.6887724;-4.0181856
-0.6762744;-3.6771717
-1.8967586;-3.9473693
1.375036;-4.4361
0.7339928;-3.96853
-0.41253155;-4.1223145
0.52152264;-3.9924164
-3.3301864;-4.098483
1.641244;-4.060373
1.9429945;-4.0107064
1.377534;-3.6776268
0.09921312;-3.809998
-0.9188317;-4.201792
-1.8440254;-4.034644
0.25505102;-4.29231
-1.995731;-4.2317705
0.08869606;-4.0315704
-1.5058709;-4.0385313
2.341958;-3.6616294
-0.28322816;-4.1507072
-3.3876543;-3.8061223
-2.2666702;-4.4074645
-0.81085527;-3.994954
-1.1366804;-3.4322586
1.7934899;-4.150339
-0.8867574;-3.9785995
-3.4768865;-4.0943494
-3.4602768;-3.723404
-0.11552197;-4.2193995
-2.4348407;-4.08195
-0.43717396;-3.9227912
-2.2008922;-3.757551
1.2083288;-4.02779
1.4730781;-4.3251104
-2.6968386;-4.221908
-1.192735;-3.8934617
-1.3865049;-3.7632418
3.079789;-3.981319
0.31376436;-3.849678
1.7781851;-4.04061
-0.1718062;-3.9545226
2.6014357;-4.009238
-0.6765756;-4.2933855
2.2781909;-4.115925
2.2949908;-3.8989427
-1.0153551;-3.948089
0.17605916;-4.1246185
1.8670467;-4.1141176
-2.1432989;-4.1369524
-0.6423078;-3.9916034
3.4106686;-4.0146036
-1.4355153;-4.086791
1.8214496;-4.422794
0.2204552;-3.9577186
-1.1592213;-4.306492
-1.309664;-4.106123
1.5882299;-4.239238
-1.2793777;-3.8730717
-0.14148773;-4.3508472
1.1833112;-4.4475555
-1.8594327;-4.0178375
-0.8272368;-3.8251073
-1.1653693;-4.145056
0.5508559;-4.51545
-1.6839877;-4.0296383
-0.23059818;-3.8056881
0.16239646;-4.566792
-0.66412866;-3.9424787
-2.4842763;-3.4462545
0.7693229;-3.937393
2.6830385;-3.8017325
0.3407322;-4.011751
-1.6241014;-3.816761
0.092748314;-4.07998
-2.2235117;-4.594698
-2.3451293;-4.0258694
2.1747499;-3.992612
-2.1150627;-4.294754
0.85131013;-4.3047523
1.0436875;-4.3460674
-0.6483736;-4.3988986
2.3098912;-4.358679
1.7093862;-4.092004
-1.3989005;-4.235925
-0.49489063;-4.0668564
-1.1642655;-3.7161489
-1.774402;-3.9466832
-1.5658902;-4.211873
1.7180846;-4.053527
-2.232225;-4.3844924
1.9565793;-3.968101
1.4501462;-3.9446962
-0.2802347;-4.1770053
-1.2003663;-3.8068361
0.25082383;-3.6571286
1.3566419;-4.0602403
0.6864455;-4.327916
0.36358592;-4.0315065
-0.31478634;-3.9925866
-0.7034613;-4.0031896
1.2970914;-4.214292
-1.2931834;-4.101694
2.2055886;-3.9246626
2.0063963;-4.243614
1.5512723;-4.2502375
-0.9252567;-3.9443848
-1.958224;-4.005044
1.1642582;-3.9034677
-1.4560586;-3.9870248
1.5565535;-4.3276396
-2.2225575;-4.1124163
0.725466;-4.1535525
1.9258744;-4.1963444
2.4210377;-4.087062
-0.79931676;-3.7889059
-0.38533527;-4.1635966
-2.484424;-4.3534455
-2.2214825;-4.030918
-2.667699;-3.7822323
0.022169113;-4.2424784
-0.21700151;-4.0379744
-2.723626;-3.9540524
0.60814893;-4.111353
-1.4104917;-3.9452164
-1.0377429;-3.7696404
-1.5410318;-3.8085046
-1.8082169;-4.1356487
2.7345684;-4.1481633
-1.5879086;-3.7427006
0.19118893;-4.0387754
1.6876959;-3.9165492
-1.2900316;-3.8163085
-0.5011843;-4.3866224
1.1913421;-3.7433739
1.9276732;-4.167819
-2.8610938;-3.8934686
1.8345343;-3.959549
-1.9939723;-3.924188
-1.1847587;-3.9047658
-2.135913;-4.078301
0.29866287;-4.194852
1.9167188;-4.3050833
-2.7945976;-4.236952
-0.35952565;-3.9271586
1.139233;-4.2028227
0.4373077;-3.7751892
1.2852635;-4.243967
0.070432454;-3.95935
2.24468;-4.3849807
2.8288085;-3.9453323
0.21555549;-4.09199
-0.32337627;-4.4382715
2.0625033;-4.3115797
2.1111596;-3.7778687
1.049402;-4.2524385
1.6132079;-4.135142
-1.0218378;-3.9184084
0.7583184;-4.1080503
0.12416181;-4.0623846
-0.61444986;-4.1003017
-0.48266482;-3.7365217
1.2909634;-4.019361
-0.050758883;-3.7956803
-0.9618305;-3.959319
-3.3655884;-4.242113
3.0874815;-3.8696892
-0.13535668;-4.0432653
-1.0534861;-3.9291294
-1.5943282;-4.4339156
1.3981313;-4.124009
1.5151604;-4.2387414
0.6403979;-3.6794891
-2.241393;-4.17379
-3.15396;-3.669572
1.7112252;-4.1460714
-3.3353345;-4.1332016
-1.375128;-4.0930986
-0.2803498;-3.9549816
1.1508353;-3.772394
-3.2431817;-3.658253
0.4465123;-3.8973897
0.007499188;-4.066263
-1.3155773;-4.0454593
-1.5944202;-3.8491926
-1.0931655;-3.8756227
-0.37592918;-3.4861443
-1.2789105;-3.83969
-2.8758376;-3.6945944
1.3366534;-4.022253
0.19023901;-3.949948
-1.0011153;-3.8105292
-2.7446222;-4.0834846
-2.5015702;-3.5382278
1.9504787;-4.187581
-1.3828067;-4.2709913
-0.7179526;-3.8321228
2.2306347;-4.043017
0.3632262;-4.013524
1.7255473;-4.17705
1.022701;-3.85005
-2.075017;-4.0446424
-0.18610334;-4.399177
2.2697484;-3.9281802
-2.3554132;-4.004184
-2.221145;-3.921835
-0.96372736;-4.070616
-0.21073902;-4.2399693
1.0852605;-4.1329355
-0.9809983;-3.7259905
-0.7845838;-3.9450462
-2.3156903;-4.153816
0.41979566;-4.0981035
-1.8011339;-4.043737
-0.086416334;-3.9951704
-0.3537026;-4.3142242
0.6360254;-3.9489784
-1.470906;-4.0566397
-1.5705107;-4.3171678
0.5464493;-3.836556
2.230849;-4.165606
-1.0981202;-4.016432
-3.1588833;-3.72712
-0.79593885;-4.044898
-0.67365694;-4.153718
0.7787734;-3.7343764
0.949123;-3.845956
-1.7872412;-3.9706392
0.45381287;-3.8706508
1.7313591;-4.2427754
1.1645284;-4.3435345
0.31431422;-3.8385437
-1.1617817;-4.380606
-0.42431968;-3.92934
0.63213;-4.1222906
-0.8568214;-3.8846705
-2.455452;-4.0264616
-2.2713046;-4.02672
-0.83082783;-4.164168
-1.3597386;-4.057088
-0.25580612;-4.288809
0.9699378;-4.0279713
-0.107756354;-3.8363388
-1.3755078;-4.448495
-0.15259123;-3.8767881
0.003697902;-4.14469
1.0232962;-4.082783
-1.0211482;-3.6076164
1.654827;-4.17939
-1.429134;-4.1035204
-1.8951005;-4.163048
-2.0650892;-4.2260337
-0.38918895;-3.8600166
0.5670136;-4.2847114
-2.9519353;-4.0539007
-0.15670231;-3.9999058
-3.524761;-4.0225363
1.1478338;-4.2703834
-1.8960898;-4.4403667
-3.0581396;-3.8665926
-1.2956313;-3.769596
2.2547538;-4.193288
2.653472;-3.8513086
2.866276;-4.2405205
-1.2091925;-4.225319
-3.081211;-3.7367113
-0.18173648;-4.1061273
-1.1318884;-3.911288
-0.3647899;-4.070049
-0.84075;-4.101092
0.39518037;-4.039462
2.3924427;-4.2498884
-0.18589745;-3.7595127
2.1943843;-3.925059
0.58862233;-4.2420444
2.8668835;-4.0254564
-0.63361305;-4.224656
-0.6431538;-3.946295
-0.8128004;-3.8880868
0.70851815;-4.274095
1.3305122;-4.507312
-0.30539685;-4.001032
-0.74079907;-4.1524563
-2.035152;-4.410056
0.6997379;-4.0926495
-0.76293826;-4.129373
-0.86732244;-3.9430122
0.2700176;-4.2300844
0.5704609;-3.8300424
0.84078777;-4.1807528
0.077313095;-4.145849
-1.8384129;-4.061506
-1.5381112;-4.175954
-1.9061455;-4.0345907
1.2678642;-3.9046497
1.7507366;-4.16304
1.1180929;-4.1595163
1.5604812;-4.142993
1.7952154;-3.6454277
0.3172383;-3.6326766
0.4378229;-3.9026737
-2.9867055;-4.2172327
-1.5935124;-4.028506
2.4110086;-4.2573843
-3.269545;-3.6854906
0.6653615;-4.051856
2.0896342;-4.0250483
1.7762634;-4.05081
1.3291224;-4.1822968
-2.253593;-3.7972343
0.32719287;-4.209894
0.62083936;-4.151705
-0.863703;-4.0503945
-0.77259433;-4.412198
0.19439831;-4.220851
-1.6433266;-4.1071687
1.5170914;-4.1260405
-2.0018036;-4.3763165
-1.4983937;-3.8727088
1.2903601;-4.2600055
-2.2291038;-3.8864431
-2.6376393;-4.0186605
0.7919284;-4.156477
-0.023784876;-3.9195871
0.022293895;-3.8737047
1.8381482;-4.2226305
0.90926194;-4.0093956
0.06269562;-4.505868
1.2910671;-4.2090607
2.8388793;-3.9592552
2.442204;-4.0410767
-0.56820333;-3.7967603
-1.2885059;-3.9058542
0.48707035;-4.0481043
-2.654979;-3.7476056
0.29449636;-3.7182713
-2.3977156;-4.046401
2.2728114;-4.224524
0.77569294;-4.0364866
1.2653455;-4.180931
-2.3397498;-3.8987746
-2.3237805;-4.131887
-1.4835017;-3.9132
0.61846316;-3.722667
1.4723569;-3.8920088
-3.1875145;-3.9470503
-2.9635057;-4.0680933
2.4470897;-4.071039
-1.0354316;-4.1180716
-0.9531394;-4.2690926
-0.08643224;-3.8102589
0.33408818;-4.118724
-1.4860526;-3.595154
-0.6545902;-4.295722
-2.7438009;-4.001801
1.1174432;-4.2449923
-0.86661816;-4.323059
-0.5457485;-4.123062
-1.1683813;-4.0752425
1.6870126;-4.051386
-1.5484266;-4.1088967
0.4932252;-4.3866796
-2.8292263;-4.1844225
0.41166237;-4.2396975
-0.8197588;-3.7316346
0.8376219;-3.923231
0.9137769;-4.319248
1.6418028;-4.3581886
-1.027387;-4.270412
2.337736;-4.007839
-3.0944707;-3.8522882
1.3757486;-4.0371885
-1.4796027;-4.074883
-2.113376;-3.9887514
-1.8827962;-3.9538195
-1.1660804;-4.1296945
-0.58374715;-4.2851233
-0.34942546;-3.9015992
-1.7012266;-4.140404
2.1391392;-3.8657296
2.2528086;-4.4071727
-2.6965618;-4.1622458
-1.1752505;-3.8965569
1.78775;-3.9838371
3.0627513;-4.07145
-0.8406279;-4.240613
-0.26483977;-3.798969
-1.8496398;-3.525168
-2.5298321;-4.0733995
2.4038386;-3.9761279
-0.940261;-4.070712
-0.54266405;-4.0060062
-2.0077727;-4.232302
-1.1386755;-4.113188
-0.027563408;-3.788002
-1.0640197;-4.013158
0.48664793;-4.153554
-0.69659555;-4.0445256
-1.4235109;-4.334672
2.336065;-4.1173315
1.0385596;-3.9819052
1.2318813;-4.1290665
-1.1137103;-4.0522585
2.5050452;-4.024811
-0.69173837;-3.9248803
-1.836159;-3.974736
0.5101788;-4.2759094
-2.0826342;-4.2391825
1.8378595;-4.0524044
-2.1410923;-4.1469994
2.6968963;-4.036519
-0.18009514;-4.0236
0.093292;-4.177189
1.7733476;-4.17841
0.24724343;-4.138886
-2.0216208;-3.6972935
0.8450265;-3.7381651
0.958629;-3.7578185
2.4870377;-4.111355
-1.8014789;-3.9214437
-1.150251;-3.8817594
0.8346405;-3.8864062
2.736417;-3.8235102
1.8632241;-3.9732273
-1.8528681;-3.7883868
-0.87868094;-4.0264945
0.7385622;-4.5255156
0.046051174;-4.115402
-1.1552782;-3.6525111
1.5867162;-3.7865696
2.5909038;-3.9298227
0.66017866;-4.178077
1.7144892;-3.9141128
-2.3804724;-3.9796262
-2.1726677;-4.180605
-1.7468396;-4.310527
-1.1601605;-4.5416718
1.795209;-4.116806
1.5658616;-4.3591213
-0.18735458;-4.010481
0.6714641;-3.9982398
-1.8021898;-4.131858
0.77893066;-4.1538334
0.44675836;-4.0408883
0.025829047;-4.074485
2.8983252;-3.9830573
-2.0040886;-3.9520848
0.71763456;-3.7922025
-2.8992646;-4.063877
-1.828957;-3.7212675
1.3675256;-4.238716
-0.5940055;-3.8986175
0.6234784;-4.154785
-0.43224782;-3.8219113
-2.7820106;-4.0361013
-1.168278;-4.1065254
0.85393226;-4.22003
-2.5123253;-3.858017
1.9067599;-4.0935717
-1.635867;-4.044399
-1.5543327;-4.0910645
1.5400114;-4.0499578
-0.7345276;-4.1969376
0.19176626;-3.89446
0.6288574;-4.011603
0.15034962;-4.297548
-0.028807715;-3.9477391
0.617653;-3.6800873
-0.923213;-3.9310884
0.58806443;-3.6479428
0.9366956;-4.424014
-1.4695172;-4.2242317
-0.982062;-4.080348
1.5869267;-4.1856737
