Thetas Estimation;Log Var Thetas Estimation
-0.5948144;-4.1822376
-2.82158;-4.407356
1.3702567;-4.344035
0.9203233;-4.2968616
-1.9139986;-3.8170469
2.2171206;-4.2545342
0.21027124;-4.162393
1.5688055;-3.9190598
-0.820943;-3.652077
0.78625494;-4.1531506
0.206602;-4.023061
-0.45365977;-4.2525287
3.3298028;-3.5355406
-2.7315052;-4.154864
0.4464739;-4.1644635
1.4805853;-4.341778
-2.6425357;-4.066653
-1.1187265;-4.035862
0.613453;-4.1198297
1.5602596;-4.599652
-1.6497242;-4.089608
0.67506593;-4.045286
-2.2542732;-4.029874
-2.8892136;-4.4647
0.8784619;-4.1341133
1.0747781;-3.7183592
-2.1891847;-4.107608
2.3415473;-3.8967454
0.64370203;-4.006004
1.9846904;-3.8785589
-1.7105997;-3.9189546
-1.3829813;-3.6022193
-0.9557445;-3.957615
2.011687;-3.8834484
0.6332756;-4.399783
2.1297615;-3.8003259
-1.0548201;-3.9696963
0.8057361;-4.1779065
-0.95711184;-4.2737556
-1.7032342;-3.738497
-0.2433998;-4.2472205
-1.4314079;-4.2501626
0.90420467;-4.0771976
-2.2605143;-3.9265041
1.8021333;-4.150492
0.14089754;-3.8648386
-0.86583924;-3.2760954
-1.9875333;-4.1685953
1.1864047;-4.25637
2.7040582;-4.359235
2.906757;-3.6756258
-0.2521619;-4.1840277
-1.4968884;-4.083656
-2.1400273;-3.8192387
-0.21136887;-4.178786
-1.2122166;-3.8629062
-1.9503977;-4.1223516
0.24354088;-3.959497
1.1625285;-4.422492
-2.7404547;-3.754202
-2.1004875;-4.1265326
-1.6552632;-4.6400223
0.94797844;-3.8944435
-1.4926989;-4.1111298
1.8609223;-4.256203
-0.9043709;-3.768335
2.433974;-4.0454073
-0.39650726;-3.7391653
-1.988692;-3.7770615
1.367404;-4.089163
2.5444996;-3.8162072
0.18352711;-4.3206143
2.2621965;-3.6557713
-0.9923368;-4.482732
2.5247793;-4.0627723
0.90518254;-3.98129
-2.119331;-3.8010254
2.5289898;-4.0674276
1.8152297;-4.0966563
1.3700037;-4.445354
-0.28212887;-3.8657053
1.9250164;-4.026274
1.2004876;-3.9468145
0.13584548;-4.095145
-0.7397282;-3.9188373
0.19408464;-4.0114503
2.5265117;-4.243267
-2.4174051;-4.1630034
-1.7727623;-4.788601
1.825546;-4.0407653
1.435127;-4.13408
-2.8195584;-4.146323
-0.4076944;-3.8983748
-0.009965658;-4.264443
1.0342586;-3.9004884
-1.0574716;-4.2778416
1.3897519;-3.8923938
-0.4583351;-3.901795
-0.19594726;-4.174403
0.3757826;-3.803198
1.8328464;-3.965345
-2.9762874;-3.966986
2.1366625;-4.022068
-3.102818;-3.4731984
1.4700677;-3.8731937
-2.129923;-4.039583
0.8211176;-4.1122932
-1.063206;-3.59168
1.7774553;-3.533398
-2.5796337;-3.5256338
-0.79376966;-4.159479
0.11874288;-4.2822375
0.51993;-4.2352166
0.8473931;-4.1244226
1.2367151;-4.2056203
-1.68736;-3.843691
-2.0086513;-4.134216
-2.681562;-3.9113321
-2.3943474;-4.0157394
0.50035584;-4.357695
1.5263171;-4.4808455
-0.54861337;-3.9066849
-1.8608491;-4.2382183
-1.4023597;-3.8866386
2.0790727;-3.8664377
-0.16327101;-4.334184
2.6304984;-4.082369
0.0735603;-3.7332127
-2.55412;-3.700991
-1.278065;-3.8916795
-1.2991753;-4.085625
-0.5914539;-3.8480692
